ID,Date,NDVI
1,2-Jan-18,0.153
2,2-Jan-18,0.172
3,2-Jan-18,0.185
4,4-Jan-18,0.192
5,4-Jan-18,0.204
6,11-Jan-18,0.165
7,11-Jan-18,0.166
8,11-Jan-18,0.181
9,18-Jan-18,0.192
10,18-Jan-18,0.189
11,18-Jan-18,0.193
12,20-Jan-18,0.223
13,20-Jan-18,0.227
14,27-Jan-18,0.139
15,27-Jan-18,0.192
16,27-Jan-18,0.222
17,3-Feb-18,0.175
18,3-Feb-18,0.178
19,3-Feb-18,0.171
20,5-Feb-18,0.232
21,5-Feb-18,0.239
22,12-Feb-18,0.17
23,12-Feb-18,0.2
24,12-Feb-18,0.23
25,19-Feb-18,0.074
26,21-Feb-18,0.131
27,21-Feb-18,0.116
28,28-Feb-18,0.175
29,28-Feb-18,0.204
30,28-Feb-18,0.238
31,7-Mar-18,0.21
32,7-Mar-18,0.146
33,7-Mar-18,0.127
34,16-Mar-18,0.172
35,16-Mar-18,0.193
36,16-Mar-18,0.223
37,23-Mar-18,0.211
38,23-Mar-18,0.199
39,23-Mar-18,0.208
40,25-Mar-18,0.196
41,25-Mar-18,0.207
42,1-Apr-18,0.171
43,1-Apr-18,0.19
44,1-Apr-18,0.215
45,8-Apr-18,0.203
46,8-Apr-18,0.193
47,8-Apr-18,0.201
48,10-Apr-18,0.204
49,10-Apr-18,0.215
50,17-Apr-18,0.167
51,17-Apr-18,0.18
52,17-Apr-18,0.183
53,24-Apr-18,0.201
54,24-Apr-18,0.144
55,24-Apr-18,0.111
56,26-Apr-18,0.045
57,3-May-18,0.167
58,3-May-18,0.041
59,10-May-18,0.199
60,10-May-18,0.193
61,10-May-18,0.2
62,12-May-18,0.2
63,12-May-18,0.211
64,19-May-18,0.161
65,19-May-18,0.183
66,19-May-18,0.21
67,26-May-18,0.196
68,26-May-18,0.184
69,26-May-18,0.153
70,28-May-18,0.204
71,28-May-18,0.218
72,4-Jun-18,0.162
73,4-Jun-18,0.184
74,4-Jun-18,0.212
75,11-Jun-18,0.183
76,11-Jun-18,0.13
77,11-Jun-18,0.053
78,13-Jun-18,0.201
79,13-Jun-18,0.218
80,20-Jun-18,0.162
81,20-Jun-18,0.174
82,20-Jun-18,0.186
83,27-Jun-18,0.191
84,27-Jun-18,0.186
85,27-Jun-18,0.195
86,29-Jun-18,0.187
87,29-Jun-18,0.213
88,6-Jul-18,0.161
89,6-Jul-18,0.182
90,6-Jul-18,0.209
91,13-Jul-18,0.189
92,13-Jul-18,0.184
93,13-Jul-18,0.192
94,15-Jul-18,0.196
95,15-Jul-18,0.21
96,22-Jul-18,0.159
97,22-Jul-18,0.181
98,22-Jul-18,0.207
99,29-Jul-18,0.186
100,29-Jul-18,0.181
101,29-Jul-18,0.187
102,31-Jul-18,0.108
103,7-Aug-18,0.153
104,7-Aug-18,0.175
105,7-Aug-18,0.2
106,14-Aug-18,0.18
107,14-Aug-18,0.176
108,14-Aug-18,0.182
109,16-Aug-18,0.188
110,16-Aug-18,0.201
111,23-Aug-18,0.151
112,23-Aug-18,0.17
113,23-Aug-18,0.191
114,30-Aug-18,0.147
115,30-Aug-18,0.166
116,30-Aug-18,0.174
117,1-Sep-18,0.183
118,1-Sep-18,0.193
119,8-Sep-18,0.148
120,8-Sep-18,0.168
121,8-Sep-18,0.188
122,15-Sep-18,0.179
123,15-Sep-18,0.171
124,15-Sep-18,0.172
125,17-Sep-18,0.179
126,17-Sep-18,0.182
127,24-Sep-18,0.152
